RAmdeg,DEmdeg,BTmag,VTmag,HIP
71.95639563,53.30111806,7.343,6.863,22279
,,5.53,5.516,22854
68.00381419,53.91259739,6.933,6.817,21148
68.00768545,53.91084237,5.903,5.784,21148
72.0292683,55.60261085,6.673,6.346,22300
74.20615577,55.82411287,8.848,6.839,22994
64.17953927,53.61179812,5.247,5.193,19949
61.65267307,54.0086421,7.557,6.412,19172
62.34264196,54.82886537,6.757,6.296,19400
65.46585467,56.50631467,6.05,5.923,20380
69.00227861,55.51208203,7.513,6.969,21426
72.00111995,56.75717769,5.574,5.306,22287
68.77247462,57.42037495,7.009,6.675,21369
66.75363478,57.58529547,6.342,6.278,20772
70.82403963,59.52113217,6.789,6.544,21966
,,5.226,5.232,25197
79.86607468,58.11736519,6.082,6.119,24836
78.79751116,59.40568191,7.68,6.269,24479
89.69266855,60.37987291,7.367,6.904,28293
82.46464538,60.26857006,6.923,6.867,25748
86.0351935,61.47653051,7.299,6.262,27046
,,5.08,5.197,23734
76.55056867,59.02134201,7.522,6.214,23743
74.28980616,59.12030704,8.77,6.822,23033
75.85454684,60.44224417,5.134,4.123,23522
75.40018287,61.07799621,6.542,6.077,23380
76.62376501,61.16974509,7.802,6.154,23766
78.26172583,61.85003627,6.198,6.169,24313
77.41750574,62.47970355,6.932,6.659,24009
80.09421135,62.65371136,7.907,5.817,24914
